News	Meta	Intro	Article	Downloads	PDFs	text_file_names
Dadermonitor mensenhandel 2013-2017	Nieuwsbericht | 2-5-2019 | 07:00	['Er worden jaarlijks maar zo’n 23 zaken van arbeidsuitbuiting en criminele uitbuiting voor de rechter gebracht. In slechts de helft van die zaken wordt ook echt iemand veroordeeld. Hiermee blijft de aanpak van deze vormen van mensenhandel ernstig achter op die van seksuele uitbuiting. Dat staat in de Dadermonitor mensenhandel 2013-2017 van de Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen, die vandaag verschijnt.']	['In de afgelopen jaren strandden strafrechtelijke zaken van uitbuiting buiten de seksindustrie (een verzamelnaam voor arbeidsuitbuiting en criminele uitbuiting) vroegtijdig, omdat onzeker was of een gedraging ook echt strafbaar was als mensenhandel. Nationaal Rapporteur Herman Bolhaar wil dat het Openbaar Ministerie, de politie en de Inspectie Sociale Zaken en Werkgelegenheid meer van dit soort zaken voor de rechter gaan brengen, zodat een heldere juridische norm ontstaat. Bolhaar: ‘Slachtoffers van deze vormen van mensenhandel hebben vaak een migratieachtergrond, spreken de taal niet en kennen hun rechten niet. Hiervan misbruik maken mag niet lonen.’', 'Minder verdachten van mensenhandel\nHet aantal verdachten van alle vormen van mensenhandel dat jaarlijks bij het Openbaar Ministerie wordt ingeschreven is in de afgelopen jaren enorm gedaald van 257 zaken in 2013 tot 144 in 2017. Dit moet weer gaan toenemen nu in de Veiligheidsagenda, waarin staat wat de nieuwe prioriteiten van de politie zijn, is vastgesteld dat er 190 mensenhandelzaken naar het OM moeten in 2019, en 240 zaken in 2022. Dit is gepresenteerd als een intensivering, maar Bolhaar vindt het onvoldoende: ‘Het is een herstel van wat in de jaren hiervoor verloren is gegaan, terwijl een ernstig delict als mensenhandel juist vraagt om duidelijke normstelling en dus vaker strafrechtelijk aanpakken van daders.’ Ook valt op dat een kwart van de daders nog geen 23 jaar is. Bij binnenlandse seksuele uitbuiting is dit zelfs ruim een derde. De rapporteur vindt het daarom belangrijk dat wordt ingezet op het voorkomen van mensenhandel, zeker door jonge daders.', 'Eenduidigheid in straffen\nDe straffen die rechters opleggen voor mensenhandel lopen zeer uiteen. Het is onduidelijk welke factoren rechters meewegen in het bepalen van de straf. Of minderjarigheid van het slachtoffer, dat de wetgever als strafverzwarende omstandigheid ziet, ook tot een hogere straf leidt is bijvoorbeeld niet te zeggen. Volgens Bolhaar is meer duidelijkheid over de straffen hard nodig. Dit is van belang om tot passende en consistente straffen te komen. Hij beveelt de staatssecretaris van Justitie en Veiligheid aan om onderzoek te doen naar welke factoren (bewust dan wel onbewust) meespelen wanneer de rechter de straf bepaalt.', 'Tijd voor resultaten\nEind 2018 zijn veel maatregelen aangekondigd in het actieprogramma Samen tegen mensenhandel, waarbij vier ministeries betrokken zijn. De rapporteur is blij dat veel organisaties bevlogen werken aan de aanpak van mensenhandel, maar hij blijft ook kritisch op het feit dat de effecten van de plannen uit het actieprogramma niet goed te meten zijn. Bolhaar: ‘Er is geen plan om de resultaten te monitoren. Bovendien is het momenteel niet mogelijk om de hele strafrechtelijke aanpak in beeld te krijgen.’ Zo is er volgens de Nationaal Rapporteur geen zicht op welke signalen wel of niet tot een opsporingsonderzoek leiden. Ook de effecten van nieuwe initiatieven, zoals bestuursrechtelijke interventies, kunnen op dit moment niet gemeten worden. Bovendien ontbreekt een schatting van hoeveel daders in totaal mensenhandel plegen. Bolhaar: ‘Voor professionals die zich dagelijks bezighouden met mensenhandel is dit cruciale informatie om van te leren en om de aanpak te verbeteren. Met alleen ambitieuze plannen is nog geen slachtoffer geholpen en geen dader gestopt. Daarom moet de komende jaren veel aandacht worden besteed aan goede uitvoering van het voorgenomen beleid.’']	['Factsheet bij de Dadermonitor mensenhandel 2013-2017\nPdf document | 1255 kB | 2-5-2019', 'Rapport Dadermonitor mensenhandel 2013-2017\nPdf document | 4884 kB | 2-5-2019']	['Factsheet%20Dadermonitor%20mensenhandel%202013-2017_tcm23-387496.pdf', 'Boek_Dadermonitor%20MH%202013-2017_INTERACTIEF_def_tcm23-387514.pdf']	['Factsheet%20Dadermonitor%20mensenhandel%202013-2017_tcm23-387496.txt', 'Boek_Dadermonitor%20MH%202013-2017_INTERACTIEF_def_tcm23-387514.txt']
Brief Nationaal Rapporteur naar aanleiding van het AO Huiselijk geweld en kindermishandeling in de Tweede Kamer	Nieuwsbericht | 23-4-2019 | 15:21	['Op woensdag 24 april spreekt de Tweede Kamercommissie voor Volksgezondheid, Welzijn en Sport in een Algemeen Overleg over huiselijk geweld en kindermishandeling. In de brief die de Nationaal Rapporteur stuurde aan de commissie staan zijn aanbevelingen van de Slachtoffermonitor seksueel geweld tegen kinderen 2016 en relevante ontwikkelingen die hier verband mee houden, zoals het actieplan ‘De best passende zorg voor kwetsbare jongeren’ en de effectmonitor uit het programma Geweld hoort nergens thuis.']	['']	['Brief Nationaal Rapporteur t.b.v. AO Huiselijk geweld en kindermishandeling april 2019\nPdf document | 84 kB | 23-4-2019']	['12035%20Brief%20NR%20AO%20Huiselijk%20geweld%20en%20kindermishandeling%20def_tcm23-386295.pdf']	['12035%20Brief%20NR%20AO%20Huiselijk%20geweld%20en%20kindermishandeling%20def_tcm23-386295.txt']
Brief aan de Tweede Kamercommissie Justitie en Veiligheid naar aanleiding van het AO Kinderporno en kindermisbruik in de Tweede Kamer	Nieuwsbericht | 18-2-2019 | 15:21	['Op woensdag 20 februari spreekt de Tweede Kamercommissie Justitie en Veiligheid in een Algemeen Overleg over kinderporno en kindermisbruik. Op de agenda van dit overleg staat de Dadermonitor seksueel geweld tegen kinderen 2013-2017. In de brief die de Nationaal Rapporteur stuurde aan de commissie staat een samenvatting van de aanbevelingen van dat rapport. Ook vraagt de Nationaal Rapporteur aandacht voor effectiviteit bij het inrichten van preventie van seksueel geweld en komt de behoefte van de Tweede Kamer aan periodiek kwantitatief onderzoek naar seksueel geweld aan bod.']	['']	['Brief Nationaal Rapporteur naar aanleiding van het AO Kinderporno en kindermisbruik in de Tweede Kamer\nBrief | Pdf document | 62 kB | 19-2-2019']	['12006%20180219%20Brief%20commissie%20JenV%20AO%20kinderporno%20en%20kindermisbruik_tcm23-377211.pdf']	['12006%20180219%20Brief%20commissie%20JenV%20AO%20kinderporno%20en%20kindermisbruik_tcm23-377211.txt']
Dadermonitor seksueel geweld tegen kinderen 2013-2017	Nieuwsbericht | 21-11-2018 | 10:24	['In strafzaken voor seksueel geweld tegen kinderen moet volgens Nationaal Rapporteur Seksueel Geweld tegen Kinderen Herman Bolhaar vaker gebruik worden gemaakt van digitale opsporingsmogelijkheden. ‘Drie van de tien zaken voor een zedendelict met een minderjarige wordt geseponeerd wegens te weinig bewijs. Een telefoon of laptop bevat veel informatie over ons leven. Daarom zouden die vaker onderzocht moeten worden om te kijken of er steunbewijs op te vinden is, zoals chatgesprekken met of over het slachtoffer.’ Dat staat in de Dadermonitor seksueel geweld tegen kinderen 2013-2017, waarin voor het eerst de hele strafrechtketen in beeld is gebracht.']	['Van elke 1.000 meldingen die jaarlijks gemiddeld binnenkomen bij de politie wordt er in 480 gevallen aangifte gedaan. Dit leidt tot 138 strafzaken waaruit in 111 gevallen een veroordeling volgt. In 68 gevallen wordt er een onvoorwaardelijke gevangenisstraf opgelegd. In de afgelopen vijf jaar was een stijging te zien in het aantal meldingen: in 2013 waren er 2.900, in 2017 al 3.400. Toch leidde dit tot steeds minder ingeschreven zaken bij het Openbaar Ministerie (OM).', 'Aangifte\nNa een melding bij de politie volgt in ongeveer de helft van de gevallen een informatief gesprek. Het doel van dit gesprek is onder meer om het slachtoffer of zijn ouders te informeren over het strafrechtelijke proces en de mogelijke impact daarvan. In 54 procent van de gevallen deed het slachtoffer na een informatief gesprek aangifte. Dat is aanzienlijk vaker dan de 30 procent die de Nationaal Rapporteur eerder rapporteerde over de periode 2011-2012. Bolhaar: ‘Het is belangrijk dat slachtoffers aangifte doen, maar er kunnen redenen zijn om dit niet te doen. Ik heb de politie aanbevolen om te registreren waarom slachtoffers geen aangifte willen doen en naar welke hulp slachtoffers worden doorverwezen, zodat we hier beter zicht op krijgen, en hun werkwijze daarop aan te laten sluiten.’', 'Vervolging en berechting\nWaar de rechter in 2013 nog in ruim 800 zaken uitspraak deed, was dit in 2017 nog maar in 700 zaken. Het aandeel veroordelingen nam wel licht toe. Bovendien koos de rechter vaker voor een onvoorwaardelijke gevangenisstraf in plaats van een taakstraf of voorwaardelijke gevangenisstraf. Ook werd vaker een tbs-maatregel opgelegd. Eén op de vijf verdachten van een zedendelict tegen een minderjarige is zelf nog minderjarig. Zaken met minderjarige verdachten komen minder vaak voor de rechter. Als dit wel gebeurt krijgen ze aanzienlijk vaker dan volwassen daders een taakstraf opgelegd.', 'Kinderpornografie\nHet aantal meldingen van kinderpornografie is in de afgelopen jaren verzesvoudigd. Toch worden er minder kinderpornografiezaken onderzocht door de politie en het Openbaar Ministerie. Zij verklaren dat de zaken complexer worden, en dat zij daardoor met dezelfde capaciteit minder zaken kunnen onderzoeken. Bolhaar: ‘Dat vind ik zorgelijk. Kinderpornografie moet optimaal bestreden kunnen worden. Alles moet op alles worden gezet om misbruik te stoppen, slachtoffers te beschermen en daders op te sporen en te vervolgen.’ Onlangs presenteerde het ministerie van Justitie en Veiligheid de hernieuwde aanpak online seksueel kindermisbruik, waarin onder andere internetbedrijven meewerken aan het verwijderen van kinderpornografie van het openbare internet. Bolhaar: ‘Die ontwikkeling is van groot belang. Daarnaast moet de politie zich echter blijven inspannen om slachtoffers te helpen en daders op te sporen.’']	['Dadermonitor seksueel geweld tegen kinderen 2013-2017\nRapport | Pdf document | 3101 kB | 22-11-2018', 'Factsheet bij de Dadermonitor seksueel geweld tegen kinderen 2013-2017\nPdf document | 2253 kB | 22-11-2018']	['Dadermonitor%20seksueel%20geweld%20tegen%20kinderen%202013-2017%20Nationaal%20Rapporteur_tcm23-363928.pdf', 'Factsheet%20bij%20Dadermonitor%20seksueel%20geweld%20tegen%20kinderen%202013-2017_tcm23-363929.pdf']	['Dadermonitor%20seksueel%20geweld%20tegen%20kinderen%202013-2017%20Nationaal%20Rapporteur_tcm23-363928.txt', 'Factsheet%20bij%20Dadermonitor%20seksueel%20geweld%20tegen%20kinderen%202013-2017_tcm23-363929.txt']
Slachtoffermonitor mensenhandel 2013-2017	Nieuwsbericht | 18-10-2018 | 07:00	['Het zicht op slachtoffers van mensenhandel is in 2017 niet verbeterd. De daling van het aantal slachtoffers dat in beeld is bij CoMensha (coördinatiecentrum tegen mensenhandel) die in 2015 is ingezet, is niet ten goede gekeerd in 2017: er zijn slechts 958 slachtoffers in beeld. Nationaal Rapporteur Mensenhandel Herman Bolhaar: ‘We moeten onze ogen hier niet voor sluiten. Mensenhandel heeft politieke topprioriteit, daarom is het van groot belang dat er meer slachtoffers in beeld komen en dat zij bescherming krijgen.’ Dat staat in de Slachtoffermonitor mensenhandel 2013-2017.']	['Vooral Nederlandse slachtoffers van seksuele uitbuiting zijn minder goed in beeld: in 2014-2015 waren er gemiddeld 365 slachtoffers in beeld. In 2017 zijn dit er nog maar 263. Dit terwijl het de meest voorkomende vorm van mensenhandel is. De daling komt mogelijk doordat slachtoffers steeds vaker gedwongen worden te werken in de escortbranche en als ‘thuiswerkers’. Deze sectoren zijn minder goed zichtbaar voor de handhavende instanties. In 2013-2015 was 66 procent van de slachtoffers van seksuele uitbuiting uitgebuit in dit deel van de prostitutiesector. In de laatste twee jaren steeg dit naar 81 procent.', 'Meldingen door de politie\nHet aantal door de politie gemelde slachtoffers is in de afgelopen jaren fors afgenomen. In 2013 ging het om 75 procent van het totaal aantal meldingen, in 2017 nog maar om 34 procent. Ook blijken er grote verschillen te zijn tussen de politieregio’s in het aantal en het soort meldingen van mensenhandel, die niet verklaard kunnen worden door het aantal inwoners in de regio. Zo nemen vier eenheden meer dan drie kwart van de politiemeldingen over binnenlandse seksuele uitbuiting voor hun rekening, en de overige zes de rest. Bolhaar: ‘Het is belangrijk om verder te onderzoeken wat de oorzaak is van deze verschillen, zodat alle politie-eenheden in staat kunnen worden gesteld om mensenhandel zo goed mogelijk aan te pakken.’', 'Toestemming\nOrganisaties die geen opsporingsbevoegdheid hebben (zoals jeugdhulpinstellingen, ngo’s en zorgcoördinatoren) moeten slachtoffers om schriftelijke toestemming vragen om te melden aan CoMensha. Deze organisaties trekken nu aan de bel omdat het voor hen steeds lastiger is om slachtoffers te melden bij CoMensha door privacywetgeving. Ook Bolhaar ziet hierin gevaar: ‘Deze melders waren de afgelopen jaren goed voor 40 procent van alle gemelde slachtoffers, dus als zij minder gaan melden missen we belangrijke informatie om te monitoren of het beleid van de overheid effectief is. We weten al dat de meldingen naar schatting slechts één op de zes werkelijke slachtoffers in beeld brengen. Als de drempel om te melden hoger wordt, wordt dat verschil nog groter. Het is belangrijk dat hier, met respect voor privacy, een oplossing voor komt.’', 'Bescherming buitenlandse slachtoffers\nOok is onderzocht hoeveel buitenlandse slachtoffers gebruik maken van de verblijfsregeling mensenhandel. Die regeling biedt verblijfsrecht en bescherming en stimuleert slachtoffers mee te werken aan de opsporing en vervolging van mensenhandelaren. Uit de monitor blijkt dat meer dan een derde van alle slachtoffers die niet verder gebruik maakt van de verblijfsregeling mensenhandel, in plaats daarvan voor een asielprocedure kiest. Dit betekent dus dat zij de bijbehorende specifieke bescherming niet meer ontvangen. Als slachtoffers zelfs uitsluitend voor asiel kiezen loopt de politie daarnaast mogelijk opsporingsinformatie mis die nodig is om mensenhandelaren te vervolgen. De Nationaal Rapporteur heeft de staatssecretaris van Justitie en Veiligheid daarom aanbevolen verder onderzoek te doen naar de reden dat slachtoffers voor een asielprocedure kiezen.']	['Slachtoffermonitor mensenhandel 2013-2017\nRapport | Pdf document | 2219 kB | 3-12-2018']	['Slachtoffermonitor%20mensenhandel%202013-2017_tcm23-359693.pdf']	['Slachtoffermonitor%20mensenhandel%202013-2017_tcm23-359693.txt']
Slachtoffermonitor seksueel geweld tegen kinderen 2016	Nieuwsbericht | 26-6-2018 | 07:00	['In de gesloten jeugdhulp, de zwaarste vorm van hulpverlening, ontvangt 85 procent van de meisjes hulp voor seksueel geweld. Van alle meisjes die hulp ontvangen voor seksueel geweld wordt 13 procent gesloten geplaatst. Dit is aanzienlijk vaker dan jongens. Omdat er tot nu toe geen landelijk beeld bestond van waarvoor kinderen jeugdhulp krijgen, deed de Nationaal Rapporteur samen met het Centraal Bureau voor de Statistiek (CBS) een onderzoek onder jeugdhulpinstellingen naar slachtofferschap van seksueel geweld. Nationaal Rapporteur Seksueel Geweld tegen Kinderen Herman Bolhaar: ‘Om jonge slachtoffers van seksueel geweld te kunnen helpen en beschermen is het nodig dat de overheid weet hoeveel kinderen waarvoor welke hulp ontvangen, zodat ze de juiste zorg op de juiste plek krijgen.’']	"['In de Slachtoffermonitor seksueel geweld tegen kinderen 2016 heeft Nationaal Rapporteur Herman Bolhaar in beeld gebracht hoeveel kinderen slachtoffer worden van seksueel geweld en welk pad zij doorlopen naar hulpverlening. Bolhaar: ‘Ik vind het heftig dat van een bijzonder groot aantal kinderen de problematiek na seksueel geweld dusdanig oploopt dat hun vrijheid wordt beperkt door opname in een instelling voor gesloten jeugdhulp.’ Uit de steekproef onder kinderen die jeugdhulp ontvangen bleek dat jongens die seksueel geweld meemaken hiervoor relatief minder vaak jeugdhulp ontvangen dan meisjes, en als zij hulp ontvangen is deze gemiddeld lichter van aard. Er is geen landelijk beeld van welk kind waarvoor hulp ontvangt, omdat dit nu niet geregistreerd hoeft te worden. Bolhaar: ‘De informatie die uit dit onderzoek komt maakt duidelijk hoe noodzakelijk het is dit wel te gaan registreren. Als we niet weten welke hulp mishandelde kinderen krijgen kunnen we ook niet weten of we ze wel de juiste hulp bieden.’', 'Landelijke registratie Veilig Thuis niet betrouwbaar\nDe omgeving, of een kind zelf, kan (vermoedens van) seksueel geweld melden bij Veilig Thuis. Dit advies- en meldpunt voor huiselijk geweld en kindermishandeling bestaat uit 26 regionale organisaties, waarvoor de gemeenten verantwoordelijk zijn. Doordat deze organisaties niet eenduidig registreren is niet bekend hoe vaak er daadwerkelijk gemeld is, en hoe vaak deze meldingen onderzocht zijn. Dat de registratie van Veilig Thuis nog geen betrouwbaar beeld geeft, werd recent ook geconstateerd door het CBS. Bolhaar: ‘Veilig Thuis is al bezig met het verbeteren van de registratie, zodat duidelijk wordt hoeveel kinderen via een melding in beeld komen. Registratieprotocollen zijn hierbij onontbeerlijk, maar niet voldoende: ik heb de minister aanbevolen geld beschikbaar te stellen om mensen er ook echt in te trainen en de resultaten te bewaken. Het is van groot belang dat de cijfers een betrouwbaar beeld geven van wat er daadwerkelijk gebeurt met mishandelde kinderen.’', ""Online seksueel geweld\nJaarlijks worden naar schatting ruim 20 duizend kinderen tussen de 12 en de 17 jaar slachtoffer van ernstig hands-on seksueel geweld, zoals verkrachting. Dat is minder vaak dan vier jaar geleden. De Nationaal Rapporteur noemt dit een ontwikkeling in de goede richting, maar hij maakt ook een kanttekening: ‘Het roept de vraag op of online vormen van seksueel geweld, zoals grooming en het ongewenst doorsturen van seksueel beeldmateriaal, vaker voorkomen. Om deze vraag te beantwoorden is meer onderzoek nodig.'""]"	['Slachtoffermonitor seksueel geweld tegen kinderen 2016\nPdf document | 1832 kB\nRapport | 25-6-2018', 'Factsheet bij Slachtoffmonitor sekseel geweld tegen kinderen 2016\nPdf document | 2147 kB\nPublicatie | 25-6-2018']	['Nationaal%20Rapporteur%20-%20Slachtoffermonitor%20seksueel%20geweld%20tegen%20kinderen%202016_tcm23-335177.pdf', 'Nationaal%20Rapporteur%20-%20Slachtoffermonitor%20seksueel%20geweld%20tegen%20kinderen%202016%20-%20factsheet_tcm23-335178.pdf']	['Nationaal%20Rapporteur%20-%20Slachtoffermonitor%20seksueel%20geweld%20tegen%20kinderen%202016_tcm23-335177.txt', 'Nationaal%20Rapporteur%20-%20Slachtoffermonitor%20seksueel%20geweld%20tegen%20kinderen%202016%20-%20factsheet_tcm23-335178.txt']
Brief aan de minister van Volksgezondheid, Welzijn en Sport, de minister voor Rechtsbescherming en de staatssecretaris van Justitie en Veiligheid over het jeugdzorgstelsel	Nieuwsbericht | 20-4-2018 | 14:00	"[""Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen Herman Bolhaar maakt zich zorgen over de consequenties die de decentralisatie van de jeugdzorg heeft voor organisaties die (vaak zeer specialistische) zorg bieden voor slachtoffers van onder meer mensenhandel en seksueel geweld tegen kinderen. Hij pleit voor organisatorische rust door betrouwbare financiering, onder meer voor de landelijke kosten van de Centra Seksueel Geweld (CSG). Om te komen tot de juiste zorg op de juiste plek behoeft triagering in de jeugdhulp verbetering, naar voorbeeld van de medische zorg. Daarnaast moet volgens de Nationaal Rapporteur een professionaliseringsslag worden gemaakt in het beroepsveld, met kwaliteitskaders, onderzoek, evidence based zorg, uniforme registratie en een wettelijke basis voor gegevensuitwisseling. Door nieuwe initiatieven (zoals de CSG's) doelen mee te geven en te monitoren en evalueren kunnen zij dienen als pilots, die bij succes verdere navolging kunnen krijgen.""]"	['']	['Brief aan de minister van Volksgezondheid, Welzijn en Sport, de minister voor Rechtsbescherming en de staatssecretaris van Justitie en Veiligheid over het jeugdzorgstelsel\nPdf document | 99 kB\nBrief | 20-4-2018']	['11014%20200418%20brief%20stelsel%20gespecialiseerde%20jeugdzorg_tcm23-322593.pdf']	['11014%20200418%20brief%20stelsel%20gespecialiseerde%20jeugdzorg_tcm23-322593.txt']
Tiende Rapportage Mensenhandel	Nieuwsbericht | 9-11-2017 | 07:00	['Nederlandse gemeenten laten het te vaak afweten bij de aanpak van mensenhandel. Dat blijkt uit de Tiende rapportage mensenhandel van de Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen, die 9 november is verschenen. De rapporteur ziet ook kansen in het betrekken van de medische beroepsgroep bij de aanpak van mensenhandel; uit haar onderzoek blijkt dat 50 procent van de medische professionals in contact komt met slachtoffers van mensenhandel, maar dat artsen nog nauwelijks getraind worden om met deze situaties om te gaan.']	"['In 35 procent van de gemeenten heeft men geen idee of mensenhandel voorkomt. Hoe kleiner de gemeente, hoe vaker het aan zicht ontbreekt. Dit vindt de Nationaal Rapporteur zorgwekkend, omdat mensenhandel niet alleen in grote steden, maar ook in kleinere gemeenten voorkomt. Gemeenten zijn verantwoordelijk voor de zorg en opvang van slachtoffers. Bovendien kunnen zij slachtoffers van mensenhandel signaleren en met gemeentelijke bevoegdheden daders aanpakken. Toch geeft ruim 95 procent van de gemeenten aan geen specifiek beleid over mensenhandel te hebben. ‘Uit eerder onderzoek blijkt dat slechts 1 op de 6 slachtoffers in beeld is’, zegt Corinne Dettmeijer-Vermeulen. Zij vindt dat gemeenten een actieve rol moeten spelen bij de aanpak van mensenhandel, onder andere door lokaal beleid te ontwikkelen. ‘Het onderwerp mensenhandel moet in alle gemeenten op de agenda om te zorgen dat we geen slachtoffers en daders missen.’', 'Arts onvoldoende betrokken bij aanpak mensenhandel\nBij medische professionals schort het nog aan kennis over mensenhandel, terwijl zij volgens de rapporteur in een vroeg stadium het verschil kunnen maken: ‘In één zaak was een slachtoffer zeventien keer met verwondingen bij diverse artsen geweest, en toch was er niet één arts die de uitbuiting en mishandeling signaleerde.’ In het onderzoek geeft 50 procent van de artsen aan ooit een slachtoffer van mensenhandel op het spreekuur te hebben gehad, maar nog te vaak wordt hieraan geen gevolg gegeven. ‘Het is belangrijk dat artsen worden getraind in het herkennen van mensenhandel’, aldus de Nationaal Rapporteur. ‘Het is positief dat ruim driekwart van de artsen aangeeft hieraan behoefte te hebben.’ Om artsen een duidelijke richtlijn te geven voor hoe te handelen bij mensenhandelsituaties, pleit de rapporteur ervoor mensenhandel op te nemen in de meldcode ‘Huiselijk Geweld en Kindermishandeling’.', ""Bescherming buitenlandse slachtoffers ontoereikend\nDe Nationaal Rapporteur onderzocht ook hoe Nederland omgaat met de bescherming van buitenlandse slachtoffers van mensenhandel. Zij hebben recht op een speciale regeling. Tijdens de zogeheten ‘bedenktijd’ kunnen slachtoffers niet het land uit worden gezet. Daardoor hebben zij de tijd en rust om na te denken over het doen van aangifte tegen de mensenhandelaar. In de praktijk blijkt dat de aanbieders van de bedenktijd (de politie, Koninklijke Marechaussee en Inspectie SZW) verschillende drempels hanteren bij het verlenen ervan, waardoor slachtoffers die daar recht op hebben soms niet beschermd worden. De Nationaal Rapporteur: ‘Het zou niet uit moeten maken of je iemand van de Inspectie SZW of van de politie treft: alle slachtoffers van mensenhandel verdienen bescherming op hetzelfde niveau en volgens dezelfde regels.'""]"	['Tiende rapportage mensenhandel\nRapport | Pdf document | 1626 kB | 10-11-2017']	['Nationaal%20Rapporteur%20(2017)%20Tiende%20rapportage%20mensenhandel_interactief_tcm23-288257.pdf']	['Nationaal%20Rapporteur%20(2017)%20Tiende%20rapportage%20mensenhandel_interactief_tcm23-288257.txt']
Brief aan de minister van Justitie en Veiligheid en de minister van Volksgezondheid, Welzijn en Sport naar aanleiding van een onderzoek naar slachtoffers van kinderpornografie	Nieuwsbericht | 7-11-2017 | 12:00	['Afgelopen jaar was de Nationaal Rapporteur betrokken bij het onderzoek van het Canadian Centre for Child Protection naar de ervaringen van slachtoffers van kinderpornografie. Naar aanleiding van dit onderzoek stuurde de Nationaal Rapporteur een brief naar de minister van Justitie en Veiligheid en de minister van Volksgezondheid, Welzijn en Sport met hierin diverse aanbevelingen.']	['']	['Brief aan de ministers van J&V en VWS, 6 november 2017\nPdf document | 52 kB\nBrief | 16-9-2015']	['10058%20061117%20brief%20kinderpornografie%20minister%20JenV%20en%20minister%20VWS_tcm23-287866.pdf']	['10058%20061117%20brief%20kinderpornografie%20minister%20JenV%20en%20minister%20VWS_tcm23-287866.txt']
Brief aan de voorzitter van de Tweede Kamer ter gelegenheid van het AO Kinderporno en kindermisbruik	Nieuwsbericht | 25-10-2017 | 12:00	"[""Ter gelegenheid van het Algemeen Overleg Kinderporno en kindermisbruik in de Tweede Kamercommissie Veiligheid en Justitie heeft de Nationaal Rapporteur een brief aan de voorzitter van de Tweede Kamer gestuurd. In de brief geeft de rapporteur een korte beschrijving van haar rapport 'Ontucht voor de Rechter. Deel 2: de straffen' dat zij in september 2016 uitbracht. Vervolgens deelt zij haar reactie op drie onderdelen van de beleidsreactie en benadrukt zij opnieuw het belang van uniformiteit en helderheid in de strafmotivering.""]"	['']	['Brief aan de voorzitter van de Tweede Kamer ter gelegenheid van het AO kinderporno en kindermisbruik, 25 oktober 2017\nPdf document | 40 kB\nBrief | 16-12-2014']	['10055%2026102017%20brief%20Nationaal%20Rapporteur%20tbv%20AO%20kinderporno%20en%20kindermisbruik_tcm23-286476.pdf']	['10055%2026102017%20brief%20Nationaal%20Rapporteur%20tbv%20AO%20kinderporno%20en%20kindermisbruik_tcm23-286476.txt']
